text,mark
"Были 2 дня в номере премиум, понравилось очень и практически всё. Приятный персонал, всё новое, чистое и красивое. Вкусная кухня (при заказе в номер), хороший вид. Качественная уборка, современные технологии (в духе закрывающихся по кнопке штор, затемняющимся стеклом между комнатой и ванной, крутого приложения отеля). Расположение не центр, но всё равно хорошее. Крутая звукоизоляция, вообще никого не слышали. Из минусов мелочи. Не докладывали некоторые использованные средства гигиены (что не беда, ведь есть удобное приложение, через которое всё можно заказать в номер дополнительно). При въезде подошли с кучей сумок и чемоданом, но помощь с тем, чтобы их поднять не предложили (но при этом заселили на час раньше времени заезда, что приятно). Интерьер номера по дизайну спорный, не вау и не плохо. Просто приятный (но это конечно дело вкуса). При выезде подарили чай в красивой пробирке) мелочь, но очень приятная. Главное, что наверное стоит сказать - понравилось достаточно, чтобы мы снова сняли тут номер, но уже на новогоднюю ночь 🖤",5
"Отличный отель. Номера новые, чистые. Находится в начале парка, где можно вечером погулять. Очень хорошая транспортная доступность (метро, МЦК, автобус). Завтраки просто отменные.",5
"Добрый день! Очень довольна отдыхом в данном отеле. Приветливый персонал, хороший дизайн.",5
"Качественный отель по уровню номеров, разнообразию завтраков, сервису персонала.",5
Все отлично!,5
"Хороший отель, современный, в номерах есть все необходимое, но есть два небольших нюанса. Когда бронировали отель: 1. Обещали предоставить стационарный отпариватель, по итогу заселения отказали, пришлось экстренно решать вопрос, а в предверии свадьбы это не очень здорово мягко говоря, получается подвели 2. Не сказали, что в китайском саду рядом с отелем будет ремонт. По итогу заселения была стройка и все перекрыто",5
"Абсолютно новый (с осени 2022года) современный отель с парком, бизнес центром, рядом с метро и огромной парковой зоной",5
"Отличный отель с красивым парком , комфортным номерами и вкусными разнообразными завтраками. Рядом метро, в 5 минутах езды трц Европолис Хороший , приветливый персонал.",5
Шикарный отель в Азиатсеом стиле),5
"Шикарный, современный, красивый отель! Слава дезайнерам и строителяи",5
Двоякое впечатление. На 5* по мне не тянет. Из всех ресторанов только лобби бар работал. И утром завтрак на втором этаже. Жили на 20-м этаже. Вид хороший. В номере сломанный прикроватный светильник. :-/,4
"Очень красивое место. Современный и уютный интерьер, отличное место для проведения мероприятий.",5
"Отличный отель Все на высшем уровне, персонал вежливый и заботливый. Шведский стол на завтраки хорош, а вот ужин в лобби-баре не понравился от слова СОВСЕМ: невкусно, долго и дорого, не соответствует уровню отеля. В остальном это превосходный отель",5
"Удобная локация, умиротворённо и вкусно",5
Шик и блеск. Номера супер.,5
Все на высшем уровне. Качество отделки и материалов превосходная. Удобная парковка. Кухня премиального класса. Персонал доброжелательный и отзывчивый. Гости отеля из высшего общества.,5
